Assignment ID,Type,Course Code,Course Name,Day,Slot,Time,Room,Instructor,Lab Instructor,Assigned To
A0111,lab,CSE214,Computer Organization,Thursday,1,9:00-10:30,B07 F1.23,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader,L2-G1-S3
A0113,lab,CSE214,Computer Organization,Thursday,1,9:00-10:30,B17 G.04,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan,L2-G2-S2
A0127,lab,MTH212,Probability and Statistics,Thursday,1,9:00-10:30,B10 F1.07,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1,L2-G1-S1
A0039,lab,ECE111,Digital Logic Design,Thursday,2,10:45-12:15,B7.f1.04,Eng. ECE (Lab),Eng. ECE,L1-G1-S3
A0053,lab,PHY113,Physics 1,Thursday,2,10:45-12:15,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali,L1-G3-S2
A0093,lab,CNC111,Network and Web Programming,Thursday,2,10:45-12:15,B26 G.18,Eng. Alaa Essam (Lab),Eng. Alaa Essam,L2-G1-S3
A0095,lab,CNC111,Network and Web Programming,Thursday,2,10:45-12:15,B25 F1.13,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G2-S2
A0112,lab,CSE214,Computer Organization,Thursday,2,10:45-12:15,B17 G.02,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan,L2-G2-S1
A0119,lab,LRA403,JA Language 3,Thursday,2,10:45-12:15,B26 G.01,Prof. JA Culture Specialist (Lab),Prof. JA Culture Specialist,L2-G1-S2
A0043,lab,ECE111,Digital Logic Design,Thursday,3,12:30-14:00,B7.f1.04,ECE Department Staff (Lab),ECE Department Staff,L1-G3-S1
A0051,lab,PHY113,Physics 1,Thursday,3,12:30-14:00,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali,L1-G2-S3
A0066,lab,LRA401,JA Language 1,Thursday,3,12:30-14:00,B25 F1.18,Prof. Language Assistant 1 (Lab),Prof. Language Assistant 1,L1-G1-S3
A0073,lab,MTH111,Math 1,Thursday,3,12:30-14:00,B18 F1.01,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed,L1-G1-S1
A0084,lab,ACM215,ODE,Thursday,3,12:30-14:00,B09 F1.12,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G1-S3
A0089,lab,ACM215,ODE,Thursday,3,12:30-14:00,B26 G.03,Eng. Layla Zayd (Lab),Eng. Layla Zayd,L2-G3-S2
A0104,lab,CSC211,Software Engineering,Thursday,3,12:30-14:00,B18 G.13,Eng. Mariem Nagy (Lab),Eng. Mariem Nagy,L2-G2-S2
A0110,lab,CSE214,Computer Organization,Thursday,3,12:30-14:00,B08 F1.25,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan,L2-G1-S2
A0124,lab,LRA403,JA Language 3,Thursday,3,12:30-14:00,B25 G.04,Prof. Yumi Sato (Lab),Prof. Yumi Sato,L2-G3-S1
A0068,lab,LRA401,JA Language 1,Thursday,4,14:15-15:45,B26 G.03,Prof. JA Culture Specialist (Lab),Prof. JA Culture Specialist,L1-G2-S2
